"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31371","打开后台页面","Microsoft Edge","Sat Mar 07 15:26:28 UTC 2026","passed","Sat Mar 07 15:27:00 UTC 2026","后台管理","features/admin.feature.spec.js","",""
"","5295","打开后台页面","chromium","Sat Mar 07 15:26:28 UTC 2026","passed","Sat Mar 07 15:26:33 UTC 2026","后台管理","features/admin.feature.spec.js","",""
