"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4984","打开后台页面","chromium","Tue May 19 10:27:41 UTC 2026","passed","Tue May 19 10:27:46 UTC 2026","后台管理","features/admin.feature.spec.js","",""
"","22599","打开后台页面","Microsoft Edge","Tue May 19 10:27:41 UTC 2026","passed","Tue May 19 10:28:03 UTC 2026","后台管理","features/admin.feature.spec.js","",""
