"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4162","打开后台页面","chromium","Tue May 19 10:33:00 UTC 2026","passed","Tue May 19 10:33:04 UTC 2026","后台管理","features/admin.feature.spec.js","",""
"","18482","打开后台页面","Microsoft Edge","Tue May 19 10:33:00 UTC 2026","passed","Tue May 19 10:33:18 UTC 2026","后台管理","features/admin.feature.spec.js","",""
