"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4282","打开后台页面","chromium","Sat Mar 07 16:09:15 UTC 2026","passed","Sat Mar 07 16:09:19 UTC 2026","后台管理","features/admin.feature.spec.js","",""
"","30352","打开后台页面","Microsoft Edge","Sat Mar 07 16:09:15 UTC 2026","passed","Sat Mar 07 16:09:45 UTC 2026","后台管理","features/admin.feature.spec.js","",""
